SPF;Update Function;Initialization;Threshold;Avg Lower Quota;Avg Gini;Avg Footrule;Avg KT;Std KT;Egalitarian KT;Total Number of Satisfaction Special Voter;Avg SQ KT
borda;myopic-kt;special-voter-25-percent;7;('borda', 'myopic-kt', 'special-voter-25-percent', 7, 0.9969999999999999);('borda', 'myopic-kt', 'special-voter-25-percent', 7, 0.015257306641256217);('borda', 'myopic-kt', 'special-voter-25-percent', 7, 6.063155555555556);('borda', 'myopic-kt', 'special-voter-25-percent', 7, 3.5311777777777777);('borda', 'myopic-kt', 'special-voter-25-percent', 7, np.float64(0.3606304385391947));('borda', 'myopic-kt', 'special-voter-25-percent', 7, np.float64(4.526666666666667));('borda', 'myopic-kt', 'special-voter-25-percent', 7, 30.0);('borda', 'myopic-kt', 'special-voter-25-percent', 7, 15.869888888888886)
borda;myopic-sq-kt;equal;0;('borda', 'myopic-sq-kt', 'equal', 0, 0.5171555555555556);('borda', 'myopic-sq-kt', 'equal', 0, 0.6046717149245993);('borda', 'myopic-sq-kt', 'equal', 0, 6.099644444444444);('borda', 'myopic-sq-kt', 'equal', 0, 3.555133333333333);('borda', 'myopic-sq-kt', 'equal', 0, np.float64(0.3510856209040752));('borda', 'myopic-sq-kt', 'equal', 0, np.float64(4.503333333333333));('borda', 'myopic-sq-kt', 'equal', 0, 1.0);('borda', 'myopic-sq-kt', 'equal', 0, 16.1938)
borda;myopic-sq-kt;equal;3;('borda', 'myopic-sq-kt', 'equal', 3, 0.9267777777777776);('borda', 'myopic-sq-kt', 'equal', 3, 0.1092725593998428);('borda', 'myopic-sq-kt', 'equal', 3, 6.099644444444444);('borda', 'myopic-sq-kt', 'equal', 3, 3.555133333333333);('borda', 'myopic-sq-kt', 'equal', 3, np.float64(0.3510856209040752));('borda', 'myopic-sq-kt', 'equal', 3, np.float64(4.503333333333333));('borda', 'myopic-sq-kt', 'equal', 3, 19.0);('borda', 'myopic-sq-kt', 'equal', 3, 16.1938)
borda;myopic-sq-kt;equal;7;('borda', 'myopic-sq-kt', 'equal', 7, 0.9987111111111112);('borda', 'myopic-sq-kt', 'equal', 7, 0.015633569756050715);('borda', 'myopic-sq-kt', 'equal', 7, 6.099644444444444);('borda', 'myopic-sq-kt', 'equal', 7, 3.555133333333333);('borda', 'myopic-sq-kt', 'equal', 7, np.float64(0.3510856209040752));('borda', 'myopic-sq-kt', 'equal', 7, np.float64(4.503333333333333));('borda', 'myopic-sq-kt', 'equal', 7, 30.0);('borda', 'myopic-sq-kt', 'equal', 7, 16.1938)
borda;myopic-sq-kt;special-voter-25-percent;0;('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, 0.5355555555555556);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, 0.6052684329518102);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, 6.108933333333335);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, 3.5612222222222223);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, np.float64(0.35257455826623524));('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, np.float64(4.51111111111111));('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, 2.0);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 0, 16.263533333333335)
borda;myopic-sq-kt;special-voter-25-percent;3;('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, 0.9429333333333332);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, 0.10862546288455133);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, 6.108933333333335);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, 3.5612222222222223);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, np.float64(0.35257455826623524));('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, np.float64(4.51111111111111));('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, 19.0);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 3, 16.263533333333335)
borda;myopic-sq-kt;special-voter-25-percent;7;('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, 0.9968666666666665);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, 0.016041821254273402);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, 6.108933333333335);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, 3.5612222222222223);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, np.float64(0.35257455826623524));('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, np.float64(4.51111111111111));('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, 30.0);('borda', 'myopic-sq-kt', 'special-voter-25-percent', 7, 16.263533333333335)
borda;kt;equal;0;('borda', 'kt', 'equal', 0, 0.48697777777777795);('borda', 'kt', 'equal', 0, 0.6527578114006721);('borda', 'kt', 'equal', 0, 6.032222222222223);('borda', 'kt', 'equal', 0, 3.509355555555556);('borda', 'kt', 'equal', 0, np.float64(0.3520265181148542));('borda', 'kt', 'equal', 0, np.float64(4.5233333333333325));('borda', 'kt', 'equal', 0, 1.0);('borda', 'kt', 'equal', 0, 15.570866666666666)
borda;kt;equal;3;('borda', 'kt', 'equal', 3, 0.9227555555555556);('borda', 'kt', 'equal', 3, 0.11012030929978517);('borda', 'kt', 'equal', 3, 6.032222222222223);('borda', 'kt', 'equal', 3, 3.509355555555556);('borda', 'kt', 'equal', 3, np.float64(0.3520265181148542));('borda', 'kt', 'equal', 3, np.float64(4.5233333333333325));('borda', 'kt', 'equal', 3, 18.0);('borda', 'kt', 'equal', 3, 15.570866666666666)
borda;kt;equal;7;('borda', 'kt', 'equal', 7, 0.9999555555555555);('borda', 'kt', 'equal', 7, 0.013800316199395377);('borda', 'kt', 'equal', 7, 6.032222222222223);('borda', 'kt', 'equal', 7, 3.509355555555556);('borda', 'kt', 'equal', 7, np.float64(0.3520265181148542));('borda', 'kt', 'equal', 7, np.float64(4.5233333333333325));('borda', 'kt', 'equal', 7, 30.0);('borda', 'kt', 'equal', 7, 15.570866666666666)
